City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
343,maniitsoq,75,JP,1602037139,64,35.73,140.83,73.99,13.87
344,alofi,100,NG,1602037185,94,4.92,6.26,75.04,1.92
345,bandarbeyla,15,ID,1602037187,67,-2.88,108.27,85.15,12.57
346,alice town,60,AR,1602037189,86,-38.55,-58.74,51.01,3
347,harper,1,US,1602037191,7,37.1,-113.58,80.6,5.82
348,dosso,100,PH,1602037194,92,8,124.29,77,5.01
349,guerrero negro,100,RU,1602037196,74,52.14,113.5,30.2,2.24
350,pacifica,20,MX,1602037198,69,18.77,-95.77,81,13.87
351,amderma,100,GA,1602037200,84,-1.57,9.26,77.04,7.87
352,phuntsholing,0,YE,1602037202,44,14.4,46.47,70.43,0.89
353,bargal,0,NA,1602037204,54,-20.37,14.97,47.59,2.17
354,fare,90,CA,1602037209,100,49.78,-74.85,46.4,5.82
355,sucua,0,BR,1602037211,22,-13.28,-50.16,83.53,3.42
356,cuajinicuilapa,20,CA,1602037213,54,50.65,-104.87,55.4,17.22
357,khonsa,5,CA,1602037215,77,48.83,-124.05,62.6,3.36
358,flinders,74,VE,1602037028,71,11.66,-70.22,84.09,12.01
359,jining,0,CL,1602037144,80,-35.33,-72.42,49.82,12.75
360,emet,40,MX,1602037040,79,16.86,-99.89,84.2,10.29
361,muros,84,PG,1602037224,81,-10.62,150.67,78.73,14.18
362,roald,61,TM,1602037228,28,39.51,54.37,58.69,12.44
363,maldonado,78,US,1602037230,35,36.14,-120.36,78.01,1.66
364,mentok,31,ID,1602037146,56,-9.11,124.89,86.14,1.5
365,faya,1,US,1602037234,34,46.41,-105.84,68,11.41
366,diamantino,20,MG,1602037236,88,-15.72,46.32,73.4,3.36
367,waipawa,96,IN,1602037238,82,19.52,85.1,82.83,0.78
368,rabo de peixe,22,RU,1602037240,97,60.05,69.9,27.9,6.8
369,dali,75,CA,1602037243,56,50.67,-120.32,68,10.29
370,tapaua,7,AR,1602037155,59,-24.79,-65.41,60.8,2.24
371,cap-aux-meules,99,AO,1602037247,84,-6.13,12.37,76.21,10.22
372,khatanga,73,ID,1602037249,60,-3.75,103.64,88.14,1.28
373,hasaki,40,ID,1602037251,88,3.51,98.68,80.6,5.82
374,yenagoa,90,AU,1602037141,87,-34.2,142.15,57,9.17
375,manggar,16,SR,1602037257,90,5.88,-55.08,82,1.01
376,necochea,0,RU,1602037260,64,49.31,43.06,46.89,8.59
377,saint george,1,US,1602037262,93,34.64,-120.46,57.99,8.05
378,marawi,11,CN,1602037264,69,32.68,109.02,58.6,0.92
379,smolenka,77,MX,1602037266,82,18.73,-103.68,77.43,0.83
380,alvarado,100,RU,1602037268,77,54.48,53.47,47.97,6.26
381,omboue,0,AR,1602037270,35,-39.03,-67.58,57.2,12.75
382,marzuq,24,MG,1602037272,85,-14.88,47.99,73.45,1.83
383,khorixas,0,BR,1602037275,82,-17.71,-39.25,75.7,10.16
384,bajo baudo,0,CN,1602037277,63,34.57,105.89,56.43,5.1
385,chapais,20,MY,1602037279,83,1.24,111.46,82.4,1.12
386,sao miguel do araguaia,0,KZ,1602037281,63,43.3,52.8,38.7,10.98
387,lumsden,40,MU,1602037181,94,-20.52,57.52,68,3.36
